S1	S1	S1	S2	S2	S2	S3	S3	S3	S4	S4	S4	S5	S5	S5	S6	S6	S6	S7	S7	S8	S8	S8
Picea_mature_1663	8.26699390218982	8.06949921900061	8.36636137310975	9.02468779954103	9.16942772944552	5.58911217894971	4.15432791157066	6.15946211940707	5.30598753400864	4.56203094730555	4.77019472884618	4.47336109269343	4.49765317615506	4.58248830026546	4.65388780239147	4.77735961251275	5.02051069544113	4.15432791157066	4.60708401400602	4.46294033821235	4.58134213969906	4.88686918644372	4.57068392961517
Picea_mature_2627	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.44133932335849	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.35285822452883	4.31666621836877	4.15432791157066	4.15432791157066	4.35078265092377	4.15432791157066	6.275996502159	4.90327470373655	5.21452770106168	5.85156509964224	5.07296440895138
Picea_mature_3845	5.82668965129461	5.59084476312615	5.9667078277508	7.47535876437629	7.89315338602923	7.21086307263173	4.15432791157066	5.16977825730793	4.74150789297763	4.59445558695682	4.70600079171421	4.64717960133015	5.07076650159346	5.05827715817986	4.85737004636138	7.84883031333408	6.62254232111513	8.14181993140178	4.15432791157066	4.15432791157066	4.42498522943183	4.54339189165799	4.41820139111417
Picea_mature_1613	6.87292240771546	6.37305765271064	6.95567152642558	6.77380852073187	7.47888734535605	7.00797467613266	4.15432791157066	6.44500802542134	6.01822597450431	5.92337352135872	5.61161780126478	5.76152673965886	6.57131445010014	6.19032204456095	6.37715453614035	6.33874531657083	6.35776326920009	6.90144111877266	7.046919622757	6.40295738788889	5.43931903974193	6.12727237198005	5.94301581863685
Picea_mature_2637	4.15432791157066	4.65074203921665	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	6.03147727171935	6.82740036970222	7.43158922582733	7.40870155649989	7.25545002680091	6.24155080716307	6.09179101264242	6.47540361903633	6.24715566555603	5.79044644104694	5.29886915669611	5.82083784277244	5.35608518572476	5.47634362904239	5.35356200470924	5.6595247219295
Picea_mature_2103	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.32123329248836	4.15432791157066	4.29723634273942	4.15432791157066	4.38378815107169	4.15432791157066	4.15432791157066	4.43194305464247	4.15432791157066	4.15432791157066	4.58994765296258	5.26090382514944	5.52053078475042	5.64974956393655
Picea_mature_2864	7.11039592357643	6.48475652584365	6.42757507355968	6.70934906466887	6.67394862685694	4.15432791157066	7.64498339836313	4.95706284056557	4.61039990967225	4.487583446964	4.68277914263798	4.53150756639497	4.74622883228404	4.7785134815908	4.60159020208806	7.94727565341419	7.70528146090429	5.73541573241276	4.15432791157066	4.15432791157066	4.48557234127646	4.40083990848809	4.15432791157066
Picea_mature_3346	5.3229499235368	4.15432791157066	5.06801091950739	5.48570831101356	5.24679178172193	6.11392718708091	4.15432791157066	4.8517097647811	4.89406523664443	4.70485292212447	4.63281076618426	4.50366968007137	5.00788095964685	4.85539912690451	4.78436978346897	4.88927774597171	4.67172279130856	4.15432791157066	5.40102330685804	4.87204485780921	4.62176068753028	4.70290545718754	4.52698486601355
Picea_mature_470	5.41124627342645	5.24375815584756	5.3215993377059	5.98035888893252	5.47763470001978	4.15432791157066	4.15432791157066	5.30862279975167	5.15802320734114	4.92830511406953	4.89760803268729	4.99997099608856	4.98573283469051	4.83704621496746	4.89097388750017	5.10950079790419	4.80097153122104	4.15432791157066	5.40102330685804	5.15938444171146	5.79934791755435	5.91462807144466	6.08714197053536
Picea_mature_3728	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.35078265092377	4.15432791157066	4.15432791157066	4.15432791157066	4.83894208314274	5.27068713776828	5.01777305414353
Picea_mature_2080	4.6422379900747	4.65074203921665	4.68766110067768	4.15432791157066	4.93581603755198	4.15432791157066	4.15432791157066	4.15432791157066	4.61039990967225	4.65283955380232	4.57673639280071	4.64717960133015	4.55045636602637	4.73600787208621	4.82193855255217	4.55019380603917	5.53262720936945	4.15432791157066	5.32476603126707	4.6868517698366	5.72444403946405	5.60397649899796	5.70716994125962
Picea_mature_1223	4.6422379900747	4.15432791157066	4.68766110067768	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.44133932335849	4.41837032470549	4.32123329248836	4.43142187877421	4.29723634273942	4.35285822452883	4.38378815107169	4.15432791157066	4.55019380603917	4.35078265092377	4.15432791157066	4.60708401400602	4.80472097802093	6.88774980021282	6.03172025339899	6.00995448966741
Picea_mature_3043	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.31447197086222	4.15432791157066	4.35285822452883	4.31666621836877	4.15432791157066	4.15432791157066	4.43194305464247	4.15432791157066	4.79204786229763	4.37275746941402	5.33342848659611	5.21983794712555	5.51409825890611
